# Control,ID Grupo,Seleccione su identidad de género:,Seleccione la edad a la que pertenece:,Seleccione el nivel socioeconómico al que considere pertenecer:,Seleccione el nivel de estudios de su padre:,Seleccione el nivel de estudios de su madre:,"¿Usted trabaja, aparte de estudiar?",Describa su experiencia con la materia de Química hasta ahora:,Describa que aspectos de la materia de Química le interesan:,Describa cuáles problemas ha tenido con el aprendizaje de la materia de Química:,Describa como se siente usted con su aprendizaje de la materia de Química:,Opine sobre la explicación de los temas por parte del maestro de Química:,¿Con qué frecuencia come algún desayuno ó refrigerio antes de entrar a clases?,¿Cuántas horas duerme en promedio por noche durante la semana de clases?,¿Cómo calificaría la calidad del conocimiento adquirido en la materia de Química hasta ahora?,¿Con qué frecuencia considera que el tiempo asignado al contenido de Química es adecuado para su aprendizaje?,¿Con qué frecuencia siente que la cantidad de contenido en Química es abrumador?,¿Con qué frecuencia cree que la asistencia a clases de Química influye en su rendimiento académico?,¿Con qué frecuencia piensa que la puntualidad en las clases de Química es crucial para el éxito?,¿Con qué frecuencia participa durante las clases de Química?,¿Con qué frecuencia accede al material de apoyo requerido para aprender Química?,¿Con qué frecuencia observa una relación entre el proceso de enseñanza-aprendizaje y las evaluaciones en Química?,¿Cómo describiría su nivel de concentración durante las clases de Química?,"¿Con qué frecuencia siente que comprende los términos, problemas y conceptos en Química de manera efectiva?",¿Cuánta responsabilidad siente hacia la clase de Química?,¿Cuál es su nivel de motivación para la materia de Química?,Pre-Test,Post-Test,Incremento ,Aprobado_Pre-Test,Aprobado_Post-Test
23212483,gc02,Hombre,19,Clase Media,Secundaria terminada o trunca,Primaria terminada o trunca,No,Creo que buen excepto ,Clasificación de los materiales ,Me cuesta me memorizar los procedimientos  del tema último tema ,"Creo que bien, entendí la mayor parte de los temas",Se explica muy bien ,Nunca,7 a 8,Bueno,Casi siempre,A veces,Casi Siempre,Casi Siempre,Casi Nunca,A Veces,Casi Siempre,Bueno,Casi Siempre,Moderada,Bueno,10,0,0,reprobado,reprobado
23212503,gc06,Hombre,17,Clase Media Baja,Preparatoria/Bachillerato Técnico terminado o trunco,Secundaria terminada o trunca,No,"Va bien, nomas que aveces no entiendo mucho",Experimentacion ,Entenderle a ala materia,Masomenos bien,Explica bien no me puedo quejar,A veces,7 a 8,Regular,A veces,A veces,Casi Nunca,A Veces,A Veces,A Veces,Casi Siempre,Regular,A Veces,Bastante,Ni bueno Ni Malo,0,0,0,reprobado,reprobado
23212643,gc16,Hombre,19,Clase Media,Primaria terminada o trunca,Preparatoria/Bachillerato Técnico terminado o trunco,No,Regular ,La experimentación con elementos químicos,No comprender los problemas,Regular,Regular,Nunca,7 a 8,Regular,A veces,A veces,A veces,Casi Siempre,A Veces,Casi Nunca,A Veces,Regular,A Veces,Bastante,Bueno,20,60,40,reprobado,reprobado
23212491,gc03,Hombre,18,Clase Media,Licenciatura terminada o trunca,Preparatoria/Bachillerato Técnico terminado o trunco,No,Buena el profesor explica muy bien y deja los temas claros,La tabla periodica,En lo que requieren operaciones con la calculadora ,Bien creo que he entendido la mayoría de los temas,Muy buena ,Casi Nunca,5 a 6,Bueno,Siempre,Casi nunca,Casi Siempre,Casi Siempre,Casi Nunca,Casi Nunca,A Veces,Bueno,Casi Siempre,Moderada,Bueno,0,40,40,reprobado,reprobado
C20212557,gc20,Hombre,21 o más,Clase Media Baja,Licenciatura terminada o trunca,Secundaria terminada o trunca,No,E aprendido mucho pero algunas cosas se me complican aun,De momento nada aun,Ninguno,Conforme ,Es muy bueno y se ve su dominio en el tema ,Casi Nunca,5 a 6,Bueno,Casi siempre,Casi nunca,Casi Siempre,Casi Siempre,Casi Nunca,Casi Siempre,Casi Siempre,Bueno,Casi Siempre,Moderada,Bueno,10,90,80,reprobado,aprobado
23212487,ge03,Hombre,18,Clase Media Baja,Secundaria terminada o trunca,Secundaria terminada o trunca,No,Pues un poco complicada de entender debido a que hay cosas que se me hacen revoltosas ,Las reacciones químicas que pueden existir ,El entender a los temas,"Me siento un poco insatisfecho por el hecho que siento que no estoy aprendiendo mucho, o se me está dificultando","Considero que es buena, pero siento que como tal vez no tienes mucho siendo maestro, le falta la interacción, el entender a alumno, o simplemente la experiencia que tiene un profesor al paso del tiempo",Casi Nunca,5 a 6,Regular,Casi siempre,A veces,A veces,A Veces,Casi Nunca,A Veces,A Veces,Regular,A Veces,Moderada,Bueno,20,80,60,reprobado,aprobado
23212526,ge13,Hombre,17,Clase Media,Preparatoria/Bachillerato Técnico terminado o trunco,"Posgrados (Maestría, Doctorado, etc.)",No,"Se me ha hecho una materia bastante interesante,  no resulta pesada, y me causa curiosidad los temas ","Entender como actúan los materiales, sus propiedades, y como se relacionan ",A veces se me complica entender correctamente el tema cuando es la “introducción al tema” aunque generalmente en la clase siguiente el profesor explica como se realizan los ejercicios ,"Un poco saturado con las muchas cosas qué hay que entender y aprenderse sobre la materia, procedimientos y los distintos casos","Bastante claro, busca siempre aclarar dudas, siempre da ejemplos y explica varias veces para que todo el grupo entienda correctamente ",Casi Nunca,5 a 6,Bueno,A veces,A veces,Siempre,Siempre,Nunca,A Veces,A Veces,Bueno,Casi Siempre,Moderada,Ni bueno Ni Malo,10,90,80,reprobado,aprobado
23212507,gc08,Hombre,18,Clase Media,Secundaria terminada o trunca,Secundaria terminada o trunca,No,"Buena, pues la manera de trabajo del profesor me agrada",Reacciones y aplicaciones en el medio.,Ninguno,"Regular, al parecer necito darle mas tiempo a esta materia.",Exactas y proactivas también muy amenas.,Casi Siempre,5 a 6,Muy Bueno,Casi siempre,A veces,Nunca,Siempre,A Veces,Casi Siempre,Casi Siempre,Bueno,Casi Siempre,Bastante,Bueno,20,70,50,reprobado,aprobado
23210812,ge09,Hombre,19,Clase Media,Preparatoria/Bachillerato Técnico terminado o trunco,Primaria terminada o trunca,Sí,Bastante buena ,Las propiedades ,Ninguno ,Excelente ,Explica demasiado bien ,Casi Siempre,7 a 8,Bueno,Siempre,Casi nunca,Siempre,Siempre,Casi Nunca,Casi Siempre,Casi Siempre,Bueno,Casi Siempre,Moderada,Bueno,0,10,10,reprobado,reprobado
23212496,gc04,Hombre,17,Clase Media,Preparatoria/Bachillerato Técnico terminado o trunco,Secundaria terminada o trunca,No,"Agradable, interesante, y el profesor da explicaciones claras",Aplicación al mundo real para solucionar problemas,Ninguno,"Bastante satisfecho, aunque me hace falta repasar más","Claras y concisas, y sobre el profesor, es muy bueno explicando",Casi Nunca,5 a 6,Bueno,Nunca,A veces,Siempre,A Veces,Nunca,A Veces,Casi Nunca,Regular,Casi Siempre,Moderada,Bueno,20,80,60,reprobado,aprobado
23212545,gc14,Hombre,17,Clase Media Baja,Licenciatura terminada o trunca,Preparatoria/Bachillerato Técnico terminado o trunco,No,Pues asta horita me a parecido interesante ciertos temas ya que algunos no los había visto ,Pues más que nada saber más a profundidad sobre la materia ,Más que nada sería algunos temas que luego uno se revuelve ,Boy aprendiendo le y retroalimentano ,Los explica bien y con detalles y fluido ,Siempre,7 a 8,Bueno,A veces,Nunca,Siempre,Siempre,Casi Nunca,A Veces,A Veces,Regular,Casi Siempre,Moderada,Bueno,0,35,35,reprobado,reprobado
23212528,ge14,Hombre,18,Clase Media Baja,Secundaria terminada o trunca,Secundaria terminada o trunca,No,Ta chido ,Los temas ,Aveces se me complica hacer converciones ,Bien ingeniero,Los explica bien ,Nunca,Menos de 5,Bueno,A veces,A veces,Siempre,Casi Siempre,A Veces,A Veces,A Veces,Bueno,Casi Siempre,Moderada,Bueno,20,20,0,reprobado,reprobado
23212501,ge07,Hombre,18,Clase Media,Preparatoria/Bachillerato Técnico terminado o trunco,Secundaria terminada o trunca,No,Buenas aprendí cosas nuevas ,Las fórmulas ,Que me pierdo el algunas cosas,Buena es interesante ,Explíca muy bien ,Casi Nunca,5 a 6,Bueno,Casi siempre,A veces,A veces,A Veces,A Veces,Casi Nunca,Casi Nunca,Bueno,A Veces,Moderada,Bueno,0,30,30,reprobado,reprobado
23212520,gc10,Hombre,18,Clase Media,Licenciatura terminada o trunca,Preparatoria/Bachillerato Técnico terminado o trunco,No,Hasta el momento me parece una materia interesante por su contenido,Me gustan mucho los temas sobre el comportamiento de los átomos y las estructuras atómicas,Me resulta un poco difícil de entender los problemas de las celdas unitarias,Ha sido bastante regular con tendencia a bueno,"Con el maestro no tengo problema, considero que sabe enseñar bastante bien, es conciso y precioso",A veces,5 a 6,Muy Bueno,A veces,Casi nunca,Casi Siempre,Siempre,Nunca,A Veces,Casi Siempre,Bueno,Casi Siempre,Bastante,Muy Bueno,0,0,0,reprobado,reprobado
23212642,ge04,Hombre,18,Clase Media Baja,Licenciatura terminada o trunca,Licenciatura terminada o trunca,No,Me gusta ,El cmpartamiento de un elemento con otros. ,Ninguno,Cómodo ,Muy buena,Casi Nunca,7 a 8,Bueno,A veces,A veces,Siempre,Siempre,Casi Nunca,A Veces,Casi Nunca,Regular,A Veces,Moderada,Bueno,0,0,0,reprobado,reprobado
23210790,gc01,Hombre,19,Clase Media Baja,Preparatoria/Bachillerato Técnico terminado o trunco,Preparatoria/Bachillerato Técnico terminado o trunco,Sí,Interesante hasta el momento ,La posibilidad de realizar prácticas ,A veces no me doy cuenta cuando está dictando un concepto ,Bien por el momento ,Da bien los conceptos ,A veces,7 a 8,Regular,Casi siempre,A veces,A veces,A Veces,Casi Nunca,A Veces,Casi Siempre,Regular,A Veces,Moderada,Ni bueno Ni Malo,0,0,0,reprobado,reprobado
